,flight_nbr,flight_time,flight_lat,flight_long
0,AC1322,1679246582,22.9044,-72.7731
1,AC35,1679246576,-1.5894,156.4605
2,AC39,1679246580,-13.6802,-172.344
3,AC33,1679246580,3.2201,158.9072
4,AC7,1679246580,38.9005,142.0362
5,AC10,1679246583,67.3778,-133.4101
6,AC64,1679246583,52.881,-132.1131
7,AC4,1679246580,50.672,-125.8876
8,AC25,1679246584,44.2057,149.9333
9,AC887,1679246581,47.9859,-75.0116
10,AC6,1679246568,65.0934,-118.0262
11,AC81,1679246582,62.0506,-31.6748
12,AC893,1679246583,53.3256,-56.1872
13,AC62,1679246580,63.0062,-163.776
14,AC873,1679246582,49.4882,-69.3258
15,AC856,1679246581,25.477,55.1738
16,AC827,1679246584,51.9162,-71.1062
17,AC877,1679246583,53.0479,-57.3116
18,AC835,1679246583,54.9476,-55.8255
19,AC855,1679246584,53.3478,-64.8273
20,AC937,1679246582,20.7174,-105.2115
21,AC997,1679246582,45.5795,-118.8103
22,AC881,1679246582,57.6281,-44.8963
23,AC849,1679246580,74.6217,-54.2437
24,AC885,1679246582,62.8005,-42.7738
25,AC871,1679246584,59.7919,-53.2681
26,AC1325,1679246583,34.9617,-95.6483
27,AC954,1679246583,14.5596,-61.2354
28,AC1093,1679246583,35.2848,-113.0643
29,AC540,1679246582,45.712,-95.1127
30,AC737,1679246581,38.4735,-116.0065
31,AC857,1679246580,57.2763,-21.8751
32,AC775,1679246583,39.8384,-107.8241
33,AC1200,1679246580,28.85,-83.136
34,AC193,1679246580,50.3269,-118.7698
35,AC7210,1679246583,51.3544,-5.9901
36,AC999,1679246582,28.8096,-100.4007
37,AC926,1679246583,21.8405,-87.6551
38,AC100,1679246582,43.6727,-79.6126
39,AC1278,1679246582,18.3861,-66.2652
40,AC948,1679246582,17.345,-61.8421
41,AC105,1679246582,49.5302,-121.7561
42,AC1332,1679246581,34.657,-76.5639
43,AC980,1679246582,22.6889,-88.408
44,AC851,1679246582,70.0155,-50.5841
45,AC785,1679246583,36.1536,-114.1722
46,AC994,1679246581,44.4726,-75.6016
47,AC760,1679246583,42.7513,-106.5778
48,AC8887,1679246582,31.6596,-93.0834
49,AC1336,1679246581,22.4029,-67.3805
50,AC865,1679246576,57.8825,-41.8938
51,AC976,1679246583,27.5859,-110.6966
52,AC593,1679246582,38.0734,-89.815
53,AC99,1679246581,26.2715,-78.6017
54,AC1346,1679246577,25.0793,-85.3821
55,AC986,1679246580,33.1996,-97.4799
56,AC584,1679246581,46.5265,-96.2415
57,AC1321,1679246582,25.105,-80.929
58,AC784,1679246581,40.7469,-98.209
59,AC1206,1679246580,34.0284,-77.4997
60,AC8763,1679246583,49.1846,-123.0236
61,AC1198,1679246580,26.4554,-81.9993
62,AC861,1679246582,65.2426,-23.6128
63,AC137,1679246581,50.0158,-99.2451
64,AC107,1679246582,49.6971,-102.3597
65,AC165,1679246581,50.2809,-97.9426
66,AC868,1679246580,55.0156,-33.337
67,AC956,1679246583,26.8529,-81.2863
68,AC736,1679246581,41.5035,-99.9685
69,AC104,1679246581,48.6569,-97.8591
70,AC1061,1679246582,48.6124,-122.4801
71,AC354,1679246581,50.0118,-94.4181
72,AC932,1679246582,41.7859,-108.857
73,AC342,1679246582,49.5966,-103.3709
74,AC8332,1679246581,49.7536,-97.2876
75,AC411,1679246583,43.716,-79.5379
76,AC413,1679246583,45.3909,-74.5835
77,AC551,1679246581,43.2951,-120.8189
78,AC1048,1679246581,46.75,-107.2131
79,AC550,1679246581,40.8973,-120.5481
80,AC204,1679246583,49.1322,-121.6917
81,AC8477,1679246583,51.0146,-123.0108
82,AC548,1679246581,48.4421,-109.0258
83,AC674,1679246583,47.0392,-57.8844
84,AC1300,1679246582,44.4914,-113.0039
85,AC1086,1679246583,37.1009,-80.7071
86,AC111,1679246581,45.6072,-88.6688
87,AC292,1679246581,49.9546,-111.4007
88,AC8495,1679246580,45.5279,-74.046
89,AC1207,1679246583,33.7321,-77.2966
90,AC8950,1679246583,40.0857,-80.6929
91,N/A,1679246581,46.3552,-60.6717
92,AC7947,1679246582,48.1708,-67.8204
93,AC410,1679246508,43.6774,-79.617
94,AC1040,1679246576,39.865,-104.6587
95,AC108,1679246582,49.5215,-115.1419
96,AC535,1679246576,47.9931,-128.9507
97,AC262,1679246582,47.7961,-86.8685
98,AC8710,1679246583,47.521,-118.2606
99,AC408,1679246578,45.4592,-73.749
100,AC8931,1679246582,42.8661,-78.6956
101,AC843,1679246582,52.3787,4.7639
102,AC297,1679246581,50.3324,-101.9318
103,AC7247,1679246582,19.5427,-101.2343
104,AC304,1679246582,49.2464,-118.4751
105,AC8907,1679246581,42.9562,-83.8675
106,AC941,1679246579,25.0382,-77.4816
107,AC918,1679246583,40.2141,-80.0225
108,QK7684,1679246582,45.6112,-68.7726
109,AC136,1679246581,50.8948,-110.5208
110,AC664,1679246580,45.4657,-73.7502
111,AC7962,1679246583,44.956,-75.0537
112,AC1054,1679246582,47.9907,-122.603
113,QK667,1679246581,41.6274,-73.3324
114,AC8742,1679246583,30.5123,-95.7191
115,AC7019,1679246582,48.9935,-112.3361
116,QK55,1679246581,49.1672,-122.8748
117,AC912,1679246582,42.2095,-79.8802
118,N/A,1679246582,50.2201,-114.8465
119,AC598,1679246582,48.2906,-122.8753
120,AC970,1679246579,49.1968,-123.1931
121,AC8637,1679246582,42.5475,-73.3442
122,AC1422,1679246581,51.7504,-114.3661
123,AC7718,1679246582,45.3265,-72.0968
124,AC564,1679246583,49.1854,-123.1604
125,AC8785,1679246581,40.68,-77.4365
126,QK764,1679246582,48.5672,-123.0052
127,QK7704,1679246580,45.4213,-73.9764
128,AC8268,1679246582,49.5313,-122.9321
129,AC451,1679246569,43.6816,-79.6155
130,AC609,1679246582,45.2768,-65.5801
131,AC141,1679246583,43.7654,-79.9387
132,AC8320,1679246583,49.2899,-123.3097
133,QK7688,1679246571,45.4781,-73.7181
134,AC8148,1679246582,48.9256,-123.0516
135,AC1202,1679246575,43.6934,-79.6342
136,AC8118,1679246581,45.4739,-61.965
137,AC8812,1679246581,32.8794,-97.0301
138,AC610,1679246539,43.686,-79.6291
139,AC903,1679246583,26.0749,-80.1463
140,QK7,1679246582,45.4574,-73.7456
141,AC8653,1679246583,45.5908,-122.5887
142,AC8767,1679246579,32.7359,-117.2035
