request_datetime,date_meteo,latitude,longitude,humidity,precip,windgust,windspeed,winddir,cloudcover,visibility
1679358871,2023-03-20T13:00:00,59.3577,-168.3198,72.71,0,67.7,48.2,233.9,100,24.1
1679358872,2023-03-20T20:00:00,47.8682,-74.1997,74.6,0,,5.4,340,52,
1679358875,2023-03-21T02:00:00,42.5685,30.3843,84.19,0,7.9,5.4,82.2,10.6,24.1
1679358873,2023-03-20T16:00:00,61.4038,-146.6723,46.6,0,,22.7,178.7,62.4,16
1679358874,2023-03-20T20:00:00,45.5213,-80.6049,84.6,0,,9.4,270,70,
1679358871,2023-03-21T12:00:00,55.1961,174.9985,94.99,0.8,24.8,23.4,40.2,100,0.2
1679358873,2023-03-21T04:00:00,41.4603,43.2489,95.71,0,15.1,6.5,20.6,100,
1679358874,2023-03-20T17:00:00,49.1962,-123.1839,87.8,0,,7.2,120,91,
1679358874,2023-03-20T20:00:00,45.4638,-73.7374,61.1,0,,6.8,215,75,
1679358874,2023-03-20T19:00:00,46.1101,-100.3382,97.4,0,,18.4,89,0,16
1679358873,2023-03-20T18:00:00,40.3077,-103.2716,18.7,0,,22.4,108,1.3,16
1679358871,2023-03-20T20:00:00,43.5323,-77.93,44.9,0,40.7,19.4,262,88,16
1679358842,2023-03-20T20:00:00,43.681,-79.6177,44.4,0,27.7,20.5,240,88,24
1679358874,2023-03-20T18:00:00,50.9837,-113.9366,42.2,0,,8.6,80,0,15.6
1679358874,2023-03-20T18:00:00,49.9048,-116.3692,23.1,0,,10.1,60,88,40
1679358874,2023-03-20T20:00:00,39.6434,-79.9268,30.7,0,,5.4,190,0,16
1679358872,2023-03-20T19:00:00,42.4503,-97.5487,68,0,,17.2,30,0,16
1679358872,2023-03-20T17:00:00,48.4103,-121.3914,78.9,0,,5.4,200,36.1,16
1679358873,2023-03-20T18:00:00,17.6312,-82.9676,70.53,0,15.8,15.5,59.6,98.8,24.1
1679358874,2023-03-20T18:00:00,38.7456,-109.3794,63.3,0,,13,240,100,16
1679358874,2023-03-20T19:00:00,23.8357,-80.9476,78.66,0,40.7,35.3,20,88,16.3
1679358872,2023-03-20T20:00:00,39.6667,-84.4909,28.2,0,27.7,13.3,206,11.4,16
1679358872,2023-03-20T16:00:00,58.6277,-160.0966,90,0,,22.3,213.3,100,5.3
1679358871,2023-03-20T20:00:00,43.7737,-79.2853,47.3,0,27.7,18.2,249,100,14
1679358874,2023-03-20T18:00:00,45.5313,-111.0539,84.9,0,,9.4,50,100,9.2
1679358874,2023-03-20T20:00:00,47.3047,-86.2993,67.2,0,29.5,20.5,320,17,
1679358872,2023-03-20T18:00:00,41.0984,-105.7413,52.8,0,,9.6,13,33,16
1679358872,2023-03-20T20:00:00,44.5524,-80.675,63.9,0,,5.4,93,100,24
1679358872,2023-03-20T19:00:00,40.2884,-96.2683,27.4,0,38.9,19.6,192,0,16
1679358872,2023-03-20T20:00:00,47.0018,-58.1971,69.49,0,92.9,71.3,279.1,5,24.1
1679358874,2023-03-20T20:00:00,43.99,-78.8826,59.9,0,40.7,11.5,221,100,14
1679358872,2023-03-20T20:00:00,45.4588,-73.7474,61.1,0,,7,219,75,
1679358875,2023-03-20T21:00:00,49.5528,-46.2353,87.64,0.1,73.1,67.3,248.7,100,1
1679358871,2023-03-20T18:00:00,49.7677,-103.3906,80.4,0,38.9,24.7,135,100,14
1679358867,2023-03-21T03:00:00,38.5892,41.9403,98.57,0,17.6,7.6,12.2,96,24.1
1679358874,2023-03-20T17:00:00,48.5322,-122.4564,81.8,0,,11.2,180,88.9,16
1679358874,2023-03-20T19:00:00,48.433,-102.2487,93.4,0,,21.9,100,0,16
1679358868,2023-03-20T19:00:00,39.8475,-88.5414,42.7,0,41.1,25,183,0,16
1679358872,2023-03-20T19:00:00,49.8848,-99.6748,66.6,0,,19.1,66,88,24
1679358872,2023-03-20T18:00:00,51.1291,-114.0092,43.7,0,,8.6,80,0,16
1679358873,2023-03-20T20:00:00,28.4971,-81.1867,44.3,0,,21.1,41,12.1,16
1679358874,2023-03-20T20:00:00,42.6833,-78.7032,54.5,0,,18.1,226,15.8,16
1679358872,2023-03-20T20:00:00,44.8037,-84.3752,58.7,0,,8.2,315,38.7,14.6
1679358871,2023-03-20T17:00:00,32.7079,-111.2493,30.8,0,,36,8,37.9,16
1679358874,2023-03-20T19:00:00,49.0576,-100.5069,74.8,0,,14.5,90,54.1,16
1679358873,2023-03-20T20:00:00,44.8682,-83.7747,84.6,0.216,,12,9,90.1,10.2
1679358871,2023-03-20T19:00:00,44.3204,-87.6846,58.4,0,,11.7,55,73.6,16
