flight_nbr,flight_time,flight_lat,flight_long
AC61,1679358871,59.3577,-168.3198
AC859,1679358872,47.8682,-74.1997
AC43,1679358875,42.5685,30.3843
AC9,1679358873,61.4038,-146.6723
AC776,1679358874,45.5213,-80.6049
AC63,1679358871,55.1961,174.9985
AC51,1679358873,41.4603,43.2489
AC307,1679358874,49.1962,-123.1839
AC1330,1679358874,45.4638,-73.7374
AC585,1679358874,46.1101,-100.3382
AC1039,1679358873,40.3077,-103.2716
AC998,1679358871,43.5323,-77.93
AC116,1679358842,43.681,-79.6177
AC357,1679358874,50.9837,-113.9366
AC119,1679358874,49.9048,-116.3692
AC1320,1679358874,39.6434,-79.9268
AC765,1679358872,42.4503,-97.5487
AC1049,1679358872,48.4103,-121.3914
AC957,1679358873,17.6312,-82.9676
AC791,1679358874,38.7456,-109.3794
AC959,1679358874,23.8357,-80.9476
AC990,1679358872,39.6667,-84.4909
AC3,1679358872,58.6277,-160.0966
AC1205,1679358871,43.7737,-79.2853
AC1301,1679358874,45.5313,-111.0539
AC118,1679358874,47.3047,-86.2993
AC741,1679358872,41.0984,-105.7413
AC138,1679358872,44.5524,-80.675
AC987,1679358872,40.2884,-96.2683
AC694,1679358872,47.0018,-58.1971
AC425,1679358874,43.99,-78.8826
AC418,1679358872,45.4588,-73.7474
AC80,1679358875,49.5528,-46.2353
AC121,1679358871,49.7677,-103.3906
AC57,1679358867,38.5892,41.9403
AC599,1679358874,48.5322,-122.4564
AC125,1679358874,48.433,-102.2487
AC8815,1679358868,39.8475,-88.5414
AC345,1679358872,49.8848,-99.6748
AC323,1679358872,51.1291,-114.0092
AC1088,1679358873,28.4971,-81.1867
AC1237,1679358874,42.6833,-78.7032
AC781,1679358872,44.8037,-84.3752
AC971,1679358871,32.7079,-111.2493
AC120,1679358874,49.0576,-100.5069
AC527,1679358873,44.8682,-83.7747
AC549,1679358871,44.3204,-87.6846
AC555,1679358873,45.18,-121.9412
AC337,1679358873,45.7838,-75.1802
AC543,1679358873,45.9871,-88.1534
AC61,1679361899,56.9076,-179.4053
AC859,1679361905,43.8046,-79.4084
AC43,1679361903,46.6942,23.5131
AC9,1679361905,60.6049,-160.115
AC776,1679361905,45.4632,-73.7483
AC63,1679361899,48.2435,172.1725
AC51,1679361899,42.1871,34.6795
AC585,1679361905,48.7704,-108.015
AC998,1679361892,45.4568,-73.7545
AC119,1679361906,49.1972,-123.1864
AC1320,1679361897,43.676,-79.615
AC765,1679361903,40.8624,-104.8976
AC957,1679361904,11.0718,-84.3409
AC791,1679361906,35.7211,-114.7874
AC959,1679361905,17.7193,-82.948
AC990,1679361904,43.7141,-79.5407
AC3,1679361905,57.5506,-172.0005
AC1301,1679361904,48.0104,-119.641
AC118,1679361905,43.7642,-79.4676
AC741,1679361904,39.4918,-112.7103
AC987,1679361904,44.884,-101.4599
AC80,1679361907,51.4316,-34.2295
AC121,1679361905,49.9356,-113.1794
AC57,1679361904,41.4381,34.1997
AC125,1679361905,49.5472,-111.6914
AC8815,1679361905,36.3134,-93.5627
AC345,1679361905,50.0112,-109.6492
AC781,1679361905,43.7374,-92.2463
AC971,1679361906,37.8603,-113.4693
AC120,1679361905,47.0415,-90.1679
